1999-07-01,208043.666666666667
1999-10-01,208660.333333333333
2000-01-01,211586.000000000000
2000-04-01,212242.000000000000
2000-07-01,212918.666666666667
2000-10-01,213560.333333333333
2001-01-01,214101.000000000000
2001-04-01,214735.666666666667
2001-07-01,215421.666666666667
2001-10-01,216111.666666666667
2002-01-01,216664.000000000000
2002-04-01,217203.666666666667
2002-07-01,217867.666666666667
2002-10-01,218543.000000000000
2003-01-01,220109.333333333333
2003-04-01,220774.000000000000
2003-07-01,221512.666666666667
2003-10-01,222275.666666666667
2004-01-01,222356.000000000000
2004-04-01,222973.333333333333
2004-07-01,223680.000000000000
2004-10-01,224418.000000000000
2005-01-01,225038.000000000000
2005-04-01,225674.000000000000
2005-07-01,226422.333333333333
2005-10-01,227196.000000000000
2006-01-01,227763.666666666667
2006-04-01,228432.666666666667
2006-07-01,229166.333333333333
2006-10-01,229896.000000000000
2007-01-01,230839.333333333333
2007-04-01,231482.000000000000
2007-07-01,232210.000000000000
2007-10-01,232936.666666666667
2008-01-01,232806.666666666667
2008-04-01,233410.000000000000
2008-07-01,234110.333333333333
2008-10-01,234825.000000000000
2009-01-01,234912.666666666667
2009-04-01,235459.333333333333
2009-07-01,236093.000000000000
2009-10-01,236739.000000000000
2010-01-01,236996.333333333333
2010-04-01,237506.000000000000
2010-07-01,238103.666666666667
2010-10-01,238711.333333333333
2011-01-01,238851.666666666667
2011-04-01,239316.000000000000
2011-07-01,239871.000000000000
2011-10-01,240431.333333333333
2012-01-01,242436.000000000000
2012-04-01,242968.333333333333
2012-07-01,243564.000000000000
2012-10-01,244169.000000000000
2013-01-01,244828.666666666667
2013-04-01,245363.333333333333
2013-07-01,245961.000000000000
2013-10-01,246564.333333333333
2014-01-01,247086.000000000000
2014-04-01,247625.000000000000
2014-07-01,248232.666666666667
2014-10-01,248842.666666666667
2015-01-01,249900.666666666667
2015-04-01,250461.333333333333
2015-07-01,251099.000000000000
2015-10-01,251741.333333333333
2016-01-01,252580.666666666667
2016-04-01,253180.000000000000
2016-07-01,253855.000000000000
2016-10-01,254534.333333333333
2017-01-01,254247.333333333333
2017-04-01,254770.666666666667
2017-07-01,255356.666666666667
2017-10-01,255941.333333333333
2018-01-01,256937.000000000000
2018-04-01,257456.000000000000
2018-07-01,258066.333333333333
2018-10-01,258703.333333333333
2019-01-01,258389.333333333333
2019-04-01,258863.666666666667
2019-07-01,259431.666666666667
